Accession	Organism_Name	GenBank_RefSeq	Release_Date	Isolate	Species	Genus	Family	Length	Nuc_Completeness	Genotype	Segment	Country	Host	Tissue_Specimen_Source	Collection_Date	GenBank_Title
NC_079184	Escherichia phage vB_EcoM_DE15	RefSeq	2023-05-17		Escherichia phage vB_EcoM_DE15	Carltongylesvirus	Chaseviridae	53998	complete				Escherichia coli			Escherichia phage vB_EcoM_DE15, complete genome
NC_079185	Vibrio phage vB_VpaM_VPs20	RefSeq	2023-05-17		Vibrio phage vB_VpaM_VPs20		Chaseviridae	53793	complete				Vibrio parahaemolyticus		2021-12-07	Vibrio phage vB_VpaM_VPs20, complete genome
NC_079186	Aeromonas phage BUCT696	RefSeq	2023-05-17		Aeromonas phage BUCT696	Pahsextavirus	Chaseviridae	53372	complete			China	Aeromonas veronii			Aeromonas phage BUCT696, complete genome
NC_079187	Aeromonas phage pAh6.2TG	RefSeq	2023-05-17		Aeromonas phage pAh6.2TG	Pahsextavirus	Chaseviridae	51780	complete			Viet Nam	Aeromonas hydrophila		2017	Aeromonas phage pAh6.2TG, complete genome
NC_079188	Aeromonas phage PVN03	RefSeq	2023-05-17		Aeromonas phage PVN03	Pahsextavirus	Chaseviridae	50725	complete			Viet Nam	Aeromonas hydrophila		2020-03-25	Aeromonas phage PVN03, complete genome
NC_079140	Gordonia phage Azira	RefSeq	2023-05-08		Gordonia phage Azira	Emalynvirus		45336	complete			USA	Gordonia rubripertincta		2022-09-01	Gordonia phage Azira, complete genome
NC_079141	Gordonia phage Gibbous	RefSeq	2023-05-08		Gordonia phage Gibbous	Emalynvirus		45810	complete			USA	Gordonia rubripertincta		2018-08-01	Gordonia phage Gibbous, complete genome
NC_079142	Gordonia phage Santhid	RefSeq	2023-05-08		Gordonia phage Santhid			39295	complete			USA	Gordonia terrae		2021-10-15	Gordonia phage Santhid, complete genome
NC_079143	Gordonia phage Tarzan	RefSeq	2023-05-08		Gordonia phage Tarzan			40547	complete			USA	Gordonia terrae		2020-09-10	Gordonia phage Tarzan, complete genome
NC_079144	Gordonia phage Reyja	RefSeq	2023-05-08		Gordonia phage Reyja			41500	complete			USA	Gordonia terrae		2016-10-01	Gordonia phage Reyja, complete genome
NC_079145	Gordonia phage Jojo24	RefSeq	2023-05-08		Gordonia phage Jojo24			40579	complete			USA	Gordonia terrae		2018-12-01	Gordonia phage Jojo24, complete genome
NC_079146	Gordonia phage Commandaria	RefSeq	2023-05-08		Gordonia phage Commandaria	Foxborovirus	Zierdtviridae	68064	complete			USA	Gordonia terrae		2019-09-10	Gordonia phage Commandaria, complete genome
NC_077898	Yaba-7 virus	RefSeq	2023-05-07		Orthobunyavirus heptayabaense	Orthobunyavirus	Peribunyaviridae	6867	complete		L	Nigeria	Mansonia africana		1963	Yaba-7 virus strain Yaba 7 segment L, complete sequence
NC_077899	Yaba-7 virus	RefSeq	2023-05-07		Orthobunyavirus heptayabaense	Orthobunyavirus	Peribunyaviridae	4300	complete		M	Nigeria	Mansonia africana		1963	Yaba-7 virus strain Yaba 7 segment M, complete sequence
NC_077900	Yaba-7 virus	RefSeq	2023-05-07		Orthobunyavirus heptayabaense	Orthobunyavirus	Peribunyaviridae	851	complete		S	Nigeria	Mansonia africana		1963	Yaba-7 virus strain Yaba 7 segment S, complete sequence
NC_077913	Matruh virus	RefSeq	2023-05-07		Orthobunyavirus matruhense	Orthobunyavirus	Peribunyaviridae	4374	complete		M	Egypt	Curruca curruca		1961-09-26	Matruh virus strain An 1047-61 polyprotein (QK546_sMgp1) gene, complete cds
NC_077914	Matruh virus	RefSeq	2023-05-07		Orthobunyavirus matruhense	Orthobunyavirus	Peribunyaviridae	897	complete		S	Egypt	Curruca curruca		1961-09-26	Matruh virus strain An 1047-61 nucleocapsid protein (QK546_sSgp1) gene, complete cds
NC_077915	Matruh virus	RefSeq	2023-05-07		Orthobunyavirus matruhense	Orthobunyavirus	Peribunyaviridae	6949	complete		L	Egypt	Curruca curruca		1961-09-26	Matruh virus strain An 1047-61 RNA-dependent RNA polymerase (QK546_sLgp1) gene, complete cds
NC_077916	Mahogany hammock virus	RefSeq	2023-05-07		Orthobunyavirus mahoganyense	Orthobunyavirus	Peribunyaviridae	6871	complete		L	USA	Culex		1964-01-25	Mahogany hammock virus strain FE4-2s segment L RNA-dependent RNA polymerase (QK547_sLgp1) gene, complete cds
NC_077917	Mahogany hammock virus	RefSeq	2023-05-07		Orthobunyavirus mahoganyense	Orthobunyavirus	Peribunyaviridae	871	complete		S	USA	Culex		1964-01-25	Mahogany hammock virus strain FE4-2s segment S nucleocapsid protein (QK547_sSgp1) gene, complete cds
NC_077918	Mahogany hammock virus	RefSeq	2023-05-07		Orthobunyavirus mahoganyense	Orthobunyavirus	Peribunyaviridae	4422	complete		M	USA	Culex		1964-01-25	Mahogany hammock virus strain FE4-2s segment M polyprotein (QK547_sMgp1) gene, complete cds
NC_077925	Ananindeua virus	RefSeq	2023-05-07	BeAn20525	Orthobunyavirus ananindeuaense	Orthobunyavirus	Peribunyaviridae	1003	complete		S	Brazil	Mus		1960-06	Ananindeua virus isolate BeAn20525 segment S, complete sequence
NC_077926	Ananindeua virus	RefSeq	2023-05-07	BeAn20525	Orthobunyavirus ananindeuaense	Orthobunyavirus	Peribunyaviridae	4815	complete		M	Brazil	Mus		1960-06	Ananindeua virus isolate BeAn20525 segment M, complete sequence
NC_077927	Ananindeua virus	RefSeq	2023-05-07	BeAn20525	Orthobunyavirus ananindeuaense	Orthobunyavirus	Peribunyaviridae	6935	complete		L	Brazil	Mus		1960-06	Ananindeua virus isolate BeAn20525 segment L, complete sequence
NC_077928	Mirim virus	RefSeq	2023-05-07		Orthobunyavirus bertiogaense	Orthobunyavirus	Peribunyaviridae	6979	complete			Brazil	Sapajus apella		1957-08-13	Mirim virus strain BEAN7722 RNA-dependent RNA polymerase (QK551_s1gp1) gene, complete cds
NC_077929	Mirim virus	RefSeq	2023-05-07		Orthobunyavirus bertiogaense	Orthobunyavirus	Peribunyaviridae	4534	complete			Brazil	Sapajus apella		1957-08-13	Mirim virus strain BEAN7722 polyprotein (QK551_s2gp1) gene, complete cds
NC_077930	Mirim virus	RefSeq	2023-05-07		Orthobunyavirus bertiogaense	Orthobunyavirus	Peribunyaviridae	1094	complete			Brazil	Sapajus apella		1957-08-13	Mirim virus strain BEAN7722 structural nucleocapsid protein N (QK551_s3gp1) gene, complete cds
NC_077934	Infirmatus virus	RefSeq	2023-05-07	Tampa 08	Orthobunyavirus achiotei	Orthobunyavirus	Peribunyaviridae	6967	complete		L	USA	Ochlerotatus infirmatus		2008-04-22	Infirmatus virus segment L polyprotein (QK553_sLgp1) gene, complete cds
NC_077935	Infirmatus virus	RefSeq	2023-05-07	Tampa 08	Orthobunyavirus achiotei	Orthobunyavirus	Peribunyaviridae	968	complete		S	USA	Ochlerotatus infirmatus		2008-04-22	Infirmatus virus segment S nucleocapsid protein (QK553_sSgp1) gene, complete cds
NC_077936	Infirmatus virus	RefSeq	2023-05-07	Tampa 08	Orthobunyavirus achiotei	Orthobunyavirus	Peribunyaviridae	4495	complete		M	USA	Ochlerotatus infirmatus		2008-04-22	Infirmatus virus segment M polyprotein (QK553_sMgp1) gene, complete cds
NC_077940	Abras virus	RefSeq	2023-05-07	75V1183	Orthobunyavirus abrasense	Orthobunyavirus	Peribunyaviridae	4777	complete		M	Ecuador	Culex paracrybda		1974-08-21	Abras virus isolate 75V1183 segment M glycoprotein precursor (QK555_sMgp1) gene, complete cds
NC_077941	Abras virus	RefSeq	2023-05-07	75V1183	Orthobunyavirus abrasense	Orthobunyavirus	Peribunyaviridae	6901	complete		L	Ecuador	Culex paracrybda		1974-08-21	Abras virus isolate 75V1183 segment L RNA-dependent RNA polymerase (QK555_sLgp1) gene, complete cds
NC_077942	Abras virus	RefSeq	2023-05-07	75V1183	Orthobunyavirus abrasense	Orthobunyavirus	Peribunyaviridae	1073	complete		S	Ecuador	Culex paracrybda		1974-01-21	Abras virus isolate 75V1183 segment S NSs (QK555_sSgp1) and nucleocapsid (QK555_sSgp2) genes, complete cds
NC_077946	Shark River virus	RefSeq	2023-05-07	64U80	Orthobunyavirus squalofluvii	Orthobunyavirus	Peribunyaviridae	6824	complete		L	Mexico	Cricetinae		1964	Shark River virus isolate 64U80 segment L RNA-dependent RNA polymerase (QK557_sLgp1) gene, complete cds
NC_077947	Shark River virus	RefSeq	2023-05-07	64U80	Orthobunyavirus squalofluvii	Orthobunyavirus	Peribunyaviridae	4661	complete		M	Mexico	Cricetinae		1964	Shark River virus isolate 64U80 segment M glycoprotein precursor (QK557_sMgp1) gene, complete cds
NC_077948	Shark River virus	RefSeq	2023-05-07	64U80	Orthobunyavirus squalofluvii	Orthobunyavirus	Peribunyaviridae	1019	complete		S	Mexico	Cricetinae		1964	Shark River virus isolate 64U80 segment S NSs (QK557_sSgp1) and nucleocapsid (QK557_sSgp2) genes, complete cds
NC_077970	Shokwe virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	4427	complete		M	South Africa	Aedes cumminsii		1962-01-11	Shokwe virus strain SAAr 4042 segment M, complete sequence
NC_077971	Shokwe virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	943	complete		S	South Africa	Aedes cumminsii		1962-01-11	Shokwe virus strain SAAr 4042 segment S, complete sequence
NC_077972	Shokwe virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	6858	complete		L	South Africa	Aedes cumminsii		1962-01-11	Shokwe virus strain SAAr 4042 segment L, complete sequence
NC_077973	Apeu virus	RefSeq	2023-05-07	BeAn848	Orthobunyavirus apeuense	Orthobunyavirus	Peribunyaviridae	4534	complete		M	Brazil	Sapajus apella		1955-10-14	Apeu virus isolate BeAn848 segment M, complete sequence
NC_077974	Apeu virus	RefSeq	2023-05-07	BeAn848	Orthobunyavirus apeuense	Orthobunyavirus	Peribunyaviridae	6935	complete		L	Brazil	Sapajus apella		1955-10-14	Apeu virus isolate BeAn848 segment L, complete sequence
NC_077975	Apeu virus	RefSeq	2023-05-07	BeAn848	Orthobunyavirus apeuense	Orthobunyavirus	Peribunyaviridae	1082	complete		S	Brazil	Sapajus apella		1955-10-14	Apeu virus isolate BeAn848 segment S, complete sequence
NC_077979	Nepuyo virus	RefSeq	2023-05-07	BeAn10709	Orthobunyavirus maritubaense	Orthobunyavirus	Peribunyaviridae	6960	complete		L	Brazil	Mus		1959	Nepuyo virus isolate BeAn10709 segment L, complete sequence
NC_077980	Nepuyo virus	RefSeq	2023-05-07	BeAn10709	Orthobunyavirus maritubaense	Orthobunyavirus	Peribunyaviridae	1003	complete		S	Brazil	Mus		1959	Nepuyo virus isolate BeAn10709 segment S, complete sequence
NC_077981	Nepuyo virus	RefSeq	2023-05-07	BeAn10709	Orthobunyavirus maritubaense	Orthobunyavirus	Peribunyaviridae	4556	complete		M	Brazil	Mus		1959	Nepuyo virus isolate BeAn10709 segment M, complete sequence
NC_077982	Bruconha virus	RefSeq	2023-05-07	77V74814	Orthobunyavirus bruconhaense	Orthobunyavirus	Peribunyaviridae	1034	complete		S	Brazil	Mus		1977	Bruconha virus isolate 77V74814 nonstructural protein NSs and nucleoprotein genes, complete cds
NC_077983	Bruconha virus	RefSeq	2023-05-07	77V74814	Orthobunyavirus bruconhaense	Orthobunyavirus	Peribunyaviridae	7006	complete		L	Brazil	Mus		1977	Bruconha virus isolate 77V74814 RNA-dependent RNA polymerase gene, complete cds
NC_077984	Bruconha virus	RefSeq	2023-05-07	77V74814	Orthobunyavirus bruconhaense	Orthobunyavirus	Peribunyaviridae	4685	complete		M	Brazil	Mus		1977	Bruconha virus isolate 77V74814 polyprotein gene, complete cds
NC_077985	Anopheles A virus	RefSeq	2023-05-07	original	Orthobunyavirus horizonteense	Orthobunyavirus	Peribunyaviridae	989	complete		S	Colombia	Anopheles boliviensis		1940-08-15	Anopheles A virus isolate original segment S, complete sequence
NC_077986	Anopheles A virus	RefSeq	2023-05-07	original	Orthobunyavirus horizonteense	Orthobunyavirus	Peribunyaviridae	6881	complete		L	Colombia	Anopheles boliviensis		1940-08-15	Anopheles A virus isolate original segment L, complete sequence
NC_077987	Anopheles A virus	RefSeq	2023-05-07	original	Orthobunyavirus horizonteense	Orthobunyavirus	Peribunyaviridae	4337	complete		M	Colombia	Anopheles boliviensis		1940-08-15	Anopheles A virus isolate original segment M, complete sequence
NC_078003	Northway virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	6862	complete		L	USA	Aedes sp.		1971-08-25	Northway virus strain 0234 segment L, complete sequence
NC_078004	Northway virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	951	complete		S	USA	Aedes		1972	Northway virus strain 0234 segment S, complete sequence
NC_078005	Northway virus	RefSeq	2023-05-07		Orthobunyavirus bunyamweraense	Orthobunyavirus	Peribunyaviridae	4540	complete		M	USA	Aedes		1972	Northway virus strain 0234 segment M, complete sequence
NC_078143	Gossas virus	RefSeq	2023-05-07	DakAnD 401	Orthonairovirus gossasense	Orthonairovirus	Nairoviridae	1608	complete		S	Senegal	Tadarida		1964-11-19	Gossas virus isolate DakAnD 401 segment S, complete sequence
NC_078144	Gossas virus	RefSeq	2023-05-07	DakAnD 401	Orthonairovirus gossasense	Orthonairovirus	Nairoviridae	5941	complete		M	Senegal	Tadarida		1964-11-19	Gossas virus isolate DakAnD 401 segment M, complete sequence
NC_078145	Gossas virus	RefSeq	2023-05-07	DakAnD 401	Orthonairovirus gossasense	Orthonairovirus	Nairoviridae	12577	complete		L	Senegal	Tadarida		1964-11-19	Gossas virus isolate DakAnD 401 segment L, complete sequence
NC_078320	Orthonairovirus tomdiense	RefSeq	2023-05-07	TT1	Orthonairovirus tomdiense	Orthonairovirus	Nairoviridae	11943	complete		L	Turkey	Hyalomma aegyptium		2017-06	Tamdy orthonairovirus isolate TT1 RNA-dependent RNA polymerase (QK671_sLgp1) gene, complete cds
NC_078321	Orthonairovirus tomdiense	RefSeq	2023-05-07	TT1	Orthonairovirus tomdiense	Orthonairovirus	Nairoviridae	4077	complete		M	Turkey	Hyalomma aegyptium		2017-06	Tamdy orthonairovirus isolate TT1 glycoprotein precursor (QK671_sMgp1) gene, complete cds
NC_078322	Orthonairovirus tomdiense	RefSeq	2023-05-07	TT1	Orthonairovirus tomdiense	Orthonairovirus	Nairoviridae	1452	complete		S	Turkey	Hyalomma aegyptium		2017-06	Tamdy orthonairovirus isolate TT1 nucleocapsid protein (QK671_sSgp1) gene, complete cds
NC_079139	Cotonvirus japonicus	RefSeq	2023-05-07		Cotonvirus japonicum	Cotonvirus	Mimiviridae	1476527	complete							Cotonvirus japonicus DNA, complete genome
NC_044935	Porcine adenovirus 3	RefSeq	2023-05-06		Porcine mastadenovirus A	Mastadenovirus	Adenoviridae	34094	complete				Sus scrofa			Porcine adenovirus 3 strain 6618, complete genome
NC_055922	Pacific coast tick nairovirus	RefSeq	2023-05-06	Docc2011cons	Orthonairovirus dermacentoris	Orthonairovirus	Nairoviridae	4453	complete		L	USA	Dermacentor occidentalis		2011	Pacific coast tick nairovirus isolate Docc2011cons segment L, complete sequence
NC_055940	Clo Mor virus	RefSeq	2023-05-06	52301-14	Orthonairovirus sakhalinense	Orthonairovirus	Nairoviridae	1662	complete		S	USA	Argas cooleyi		1969-07-28	UNVERIFIED: Clo Mor virus isolate 52301-14 segment S, complete sequence
NC_055942	Lactarius tabidus RNA virus 1	RefSeq	2023-05-06		Lactarius tabidus orthocurvulavirus 1	Orthocurvulavirus	Curvulaviridae	2043	complete			Finland	Lactarius tabidus		2012	Lactarius tabidus RNA virus 1 strain K35 RNA dependent RNA polymerase (QK706_gp1) gene, complete cds
NC_077216	Pepper yellows virus	RefSeq	2023-05-06		Pepper yellows virus	Polerovirus	Solemoviridae	6096	complete			Greece	Capsicum annuum		2014-01	Pepper yellows virus genome assembly, complete genome: monopartite
NC_077666	Orthohantavirus puumalaense	RefSeq	2023-05-06		Orthohantavirus puumalaense	Orthohantavirus	Hantaviridae	3682	complete							Puumala virus CG1820 virus M genome segment, complete cds
NC_077667	Orthohantavirus puumalaense	RefSeq	2023-05-06		Orthohantavirus puumalaense	Orthohantavirus	Hantaviridae	6550	complete							Puumala virus CG1820 RNA-dependent RNA polymerase gene in L RNA segment
NC_077668	Orthohantavirus puumalaense	RefSeq	2023-05-06		Orthohantavirus puumalaense	Orthohantavirus	Hantaviridae	1784	complete							Puumala virus CG1820 segment S nucleocapsid protein mRNA, 5' end
NC_077669	Orthohantavirus sinnombreense	RefSeq	2023-05-06	NM R11	Orthohantavirus sinnombreense	Orthohantavirus	Hantaviridae	2060	complete				Peromyscus maniculatus			Sin Nombre virus (NM R11) RNA S segment encoding nucleocapsid protein (N protein), complete cds
NC_077670	Orthohantavirus sinnombreense	RefSeq	2023-05-06	NM R11	Orthohantavirus sinnombreense	Orthohantavirus	Hantaviridae	3696	complete				Peromyscus maniculatus			Sin Nombre virus (NM R11) RNA M segment encoding surface glycoproteins (G1 and G2 proteins), complete cds
NC_077671	Orthohantavirus sinnombreense	RefSeq	2023-05-06	NM R11	Orthohantavirus sinnombreense	Orthohantavirus	Hantaviridae	6562	complete				Peromyscus maniculatus			Sin Nombre virus (NM R11) RNA L segment encoding RNA polymerase (L protein), complete cds
NC_077674	Gentian mosaic virus	RefSeq	2023-05-06	N-1	Fabavirus gentianae	Fabavirus	Secoviridae	3372	complete							Gentian mosaic virus RNA2 gene for polyprotein, complete cds
NC_077675	Gentian mosaic virus	RefSeq	2023-05-06	N-1	Fabavirus gentianae	Fabavirus	Secoviridae	5836	complete							Gentian mosaic virus RNA1 gene for polyprotein, complete cds
NC_077680	Tomato mottle leaf curl virus	RefSeq	2023-05-06	BR:Jai13:08	Tomato mottle leaf curl virus	Begomovirus	Geminiviridae	2630	complete		DNA-A	Brazil	Solanum lycopersicum		2008	Tomato mottle leaf curl virus isolate BR:Jai13:08 segment DNA-A, complete sequence
NC_077695	Cannabis cryptic virus	RefSeq	2023-05-06	Fedora17	Cannabis cryptic virus	Betapartitivirus	Partitiviridae	2290	complete		RNA2	Germany	Cannabis sativa		2010-10	Cannabis cryptic virus isolate Fedora17 putative coat protein gene, complete cds
NC_077696	Cannabis cryptic virus	RefSeq	2023-05-06	Fedora17	Cannabis cryptic virus	Betapartitivirus	Partitiviridae	2420	complete		RNA1	Germany	Cannabis sativa		2010-10	Cannabis cryptic virus isolate Fedora17 putative RNA polymerase gene, complete cds
NC_077711	Sida micrantha mosaic virus	RefSeq	2023-05-06	A1B3	Sida micrantha mosaic virus	Begomovirus	Geminiviridae	2659	complete		A	Brazil				Sida micrantha mosaic virus segment A, complete genome, isolate A1B3
NC_077712	Sida micrantha mosaic virus	RefSeq	2023-05-06	A1B3	Sida micrantha mosaic virus	Begomovirus	Geminiviridae	2629	complete		B	Brazil				Sida micrantha mosaic virus segment B, complete genome, isolate A1B3
NC_077719	Cotton yellow mosaic virus	RefSeq	2023-05-06	BN-Gos-San2-14	Cotton yellow mosaic virus	Begomovirus	Geminiviridae	2766	complete		DNA-A	Benin	Gossypium raimondii		2014	Cotton yellow mosaic virus isolate BN-Gos-San2-14 segment DNA-A, complete sequence
NC_077720	Cotton yellow mosaic virus	RefSeq	2023-05-06	BN-Gos-San2-14	Cotton yellow mosaic virus	Begomovirus	Geminiviridae	2716	complete		DNA-B	Benin	Gossypium raimondii		2014	Cotton yellow mosaic virus isolate BN-Gos-San2-14 segment DNA-B, complete sequence
NC_077721	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	2193	complete			France	Zea mays		2015	Maize rough dwarf virus nonstructural protein P7-1 (QK487_s7gp1) and nonstructural protein P7-2 (QK487_s7gp2) genes, complete cds
NC_077722	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	1900	complete			France	Zea mays		2015	Maize rough dwarf virus nonstructural protein P9-1 (QK487_s9gp1) and nonstructural protein P9-2 (QK487_s9gp2) genes, complete cds
NC_077723	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	1936	complete			France	Zea mays		2015	Maize rough dwarf virus minor core structural protein P8 (QK487_s8gp1) gene, complete cds
NC_077724	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	1802	complete			France	Zea mays		2015	Maize rough dwarf virus major outer structural protein P10 (QK487_s10gp1) gene, complete cds
NC_077725	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	3164	complete			France	Zea mays		2015	Maize rough dwarf virus minor structural protein P5-1 (QK487_s5gp1) and minor structural protein P5-2 (QK487_s5gp2) genes, complete cds
NC_077726	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	4502	complete			France	Zea mays		2015	Maize rough dwarf virus putative RNA dependent RNA polymerase (QK487_s1gp1) gene, complete cds
NC_077727	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	3573	complete			France	Zea mays		2015	Maize rough dwarf virus structural protein P3 (QK487_s3gp1) gene, complete cds
NC_077728	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	3617	complete			France	Zea mays		2015	Maize rough dwarf virus structural protein P4 (QK487_s4gp1) gene, complete cds
NC_077729	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	3813	complete			France	Zea mays		2015	Maize rough dwarf virus structural protein P2 (QK487_s2gp1) gene, complete cds
NC_077730	Maize rough dwarf virus	RefSeq	2023-05-06	JO-4	Maize rough dwarf virus	Fijivirus	Spinareoviridae	2645	complete			France	Zea mays		2015	Maize rough dwarf virus nonstructural protein P6 (QK487_s6gp1) gene, complete cds
NC_077751	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	2039	complete		M3	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment M3, complete sequence, strain: Pycno-1
NC_077752	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	1325	complete		S2	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment S2, complete sequence, strain: Pycno-1
NC_077753	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	4011	complete		L1	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment L1, complete sequence, strain: Pycno-1
NC_077754	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	3829	complete		L2	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment L2, complete sequence, strain: Pycno-1
NC_077755	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	1201	complete		S4	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment S4, complete sequence, strain: Pycno-1
NC_077756	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	3903	complete		L3	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment L3, complete sequence, strain: Pycno-1
NC_077757	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	2287	complete		M1	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment M1, complete sequence, strain: Pycno-1
NC_077758	Avian orthoreovirus	RefSeq	2023-05-06		Avian orthoreovirus	Orthoreovirus	Spinareoviridae	2156	complete		M2	Japan	Hypsipetes amaurotis	abdominal cavity	2011-02	Avian orthoreovirus genomic RNA, segment M2, complete sequence, strain: Pycno-1
