acc	refseq_len	segment_name	superkingdom	kingdom	family	genus	species
NC_029852	7470	segment	Viruses	Pararnavirae	Retroviridae	Betaretrovirus	Bovine retrovirus CH15
NC_029854	7382	segment	Viruses	Orthornavirae	Picornaviridae	Enterovirus	Yak enterovirus
NC_018074	7596	segment	Viruses	Shotokuvirae	Papillomaviridae	Omikronpapillomavirus	Omikronpapillomavirus 1
NC_018075	7635	segment	Viruses	Shotokuvirae	Papillomaviridae	Upsilonpapillomavirus	Upsilonpapillomavirus 3
NC_018076	7348	segment	Viruses	Shotokuvirae	Papillomaviridae	Dyopipapillomavirus	Dyopipapillomavirus 1
NC_029994	2762	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tobacco leaf curl virus
NC_029991	3038	segment	Viruses	Orthornavirae	Mitoviridae	Mitovirus	Rhizoctonia oryzae-sativae mitovirus 1
NC_029996	134272	segment	Viruses		Baculoviridae	Betabaculovirus	Betabaculovirus molatipedis
NC_029995	2748	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato yellow leaf curl Shuangbai virus
NC_029993	5726	segment	Viruses	Orthornavirae	Solemoviridae	Enamovirus	Alfalfa enamovirus 1
NC_029997	105555	segment	Viruses		Baculoviridae	Alphabaculovirus	Alphabaculovirus urprotei
NC_029936	1761	segment S	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense
NC_029931	12065	segment L	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense
NC_029935	4410	segment M	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense
NC_029900	3674	segment	Viruses	Orthornavirae	Tombusviridae	Alphanecrovirus	Alphanecrovirus solani
NC_029901	6403	segment L	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense
NC_037612	4202	segment M	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense
NC_037613	1907	segment S	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense
NC_029903	6456	segment L	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus torosense
NC_037614	4326	segment M	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus torosense
NC_037615	1702	segment S	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus torosense
NC_029932	1719	segment S	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense
NC_029933	4598	segment M	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense
NC_036636	12063	segment L	Viruses	Orthornavirae	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense
NC_029921	1471	segment 2	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029922	1250	segment 4	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029923	1099	segment 5	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029924	777	segment 7	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029925	548	segment 9	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029928	1044	segment 6	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029929	657	segment 8	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029930	465	segment 10	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029927	1371	segment 3	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_029926	1641	segment 1	Viruses	Orthornavirae	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae
NC_035887	2609	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tobacco leaf curl Cuba virus
NC_035888	2567	segment DNA B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tobacco leaf curl Cuba virus
NC_029905	7367	segment	Viruses	Orthornavirae	Picornaviridae	Enterovirus	Enterovirus L
NC_029906	5620	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Barley virus G
NC_029911	3925	segment L2	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029912	3846	segment L3	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029913	2341	segment M1	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029916	1209	segment S3	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029915	1322	segment S1	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029917	3950	segment L1	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029918	2145	segment M2	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029919	1277	segment S2	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029914	2112	segment M3	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029920	1068	segment S4	Viruses	Orthornavirae	Spinareoviridae	Orthoreovirus	Mahlapitsi orthoreovirus
NC_029907	1335	segment	Viruses		Alphasatellitidae		Cucurbit yellow mosaic alphasatellite
NC_037581	2449	segment 4	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037582	2149	segment 5	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037588	1130	segment 12	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037585	1281	segment 8	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037586	1243	segment 9	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037587	1211	segment 10	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_029904	4300	segment 1	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037589	1166	segment 11	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037583	2020	segment 6	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_037584	1534	segment 7	Viruses	Orthornavirae			Callinectes sapidus reovirus 1
NC_029989	5211	segment	Viruses	Orthornavirae	Totiviridae		Penicillium digitatum virus 1
NC_029990	5625	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Maize yellow mosaic virus
NC_030152	1512	segment 7	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030159	2259	segment 4	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030160	2029	segment 6	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030161	3775	segment 2	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030162	3307	segment 3	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030153	1304	segment 8	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030154	1223	segment 9	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030155	1170	segment 10	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030157	1000	segment 12	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030158	4143	segment 1	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030163	2084	segment 5	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030156	1093	segment 11	Viruses	Orthornavirae	Spinareoviridae	Mycoreovirus	Sclerotinia sclerotiorum mycoreovirus 4
NC_030115	8919	segment	Viruses	Orthornavirae	Dicistroviridae	Cripavirus	Anopheles C virus
NC_030236	9622	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Impatiens flower break virus
NC_030229	6350	segment	Viruses	Orthornavirae	Virgaviridae	Tobamovirus	Tropical soda apple mosaic virus
NC_030126	2684	segment	Viruses	Shotokuvirae	Smacoviridae	Porprismacovirus	Porcine associated porprismacovirus 10
NC_030139	2136	segment	Viruses	Shotokuvirae	Genomoviridae	Gemykibivirus	Gemykibivirus sewopo1
NC_030146	2164	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus bovas1
NC_030141	2247	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus chicas1
NC_030145	2308	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus porci1
NC_030143	2240	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus equas1
NC_030140	2230	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus chicas2
NC_030144	2384	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus sheas1
NC_030147	2226	segment	Viruses	Shotokuvirae	Genomoviridae	Gemygorvirus	Gemygorvirus cania1
NC_030138	2194	segment	Viruses	Shotokuvirae	Genomoviridae	Gemygorvirus	Gemygorvirus malas1
NC_030118	9896	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Tobacco mosqueado virus
NC_030117	125171	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Varicellovirus	Varicellovirus canidalpha1
NC_030148	14334	segment	Viruses	Shotokuvirae	Polyomaviridae		Marbled eel polyomavirus
NC_030151	8082	segment	Viruses	Shotokuvirae	Papillomaviridae	Epsilonpapillomavirus	Epsilonpapillomavirus 2
NC_030127	2589	segment	Viruses	Shotokuvirae	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus
NC_030201	9518	segment	Viruses				Fusarium poae dsRNA virus 2
NC_030199	1939	segment	Viruses	Shotokuvirae	Circoviridae	Circovirus	Circovirus yaa
NC_030200	137448	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Roseolovirus	Roseolovirus macacinebeta9
NC_030203	4483	segment	Viruses	Orthornavirae	Tombusviridae	Umbravirus	Sclerotinia sclerotiorum umbra-like virus 1
NC_030205	7535	segment	Viruses	Pararnavirae	Caulimoviridae	Soymovirus	Water chestnut soymovirus 1
NC_030202	9419	segment	Viruses				Fusarium poae dsRNA virus 3
NC_030295	7788	segment	Viruses	Orthornavirae	Totiviridae		Golden shiner totivirus
NC_030296	5071	segment	Viruses	Shotokuvirae	Parvoviridae	Diciambidensovirus	Diciambidensovirus hemipteran1
NC_030291	9630	segment	Viruses	Orthornavirae	Flaviviridae	Pegivirus	Pegivirus pteropi
NC_030294	9537	segment	Viruses			Negevirus	Negev virus
NC_030297	2803	segment	Viruses		Anelloviridae	Betatorquevirus	Betatorquevirus homini18
NC_030293	9310	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Pecan mosaic-associated virus
NC_030308	3782	segment	Viruses	Orthornavirae	Narnaviridae	Narnavirus	Phytomonas serpens narnavirus 1
NC_018082	1376	segment	Viruses		Alphasatellitidae	Colecusatellite	Cotton leaf curl Multan alphasatellite
NC_018090	2741	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	French bean leaf curl virus
NC_018091	1379	segment	Viruses		Tolecusatellitidae	Betasatellite	French bean leaf curl betasatellite
NC_018093	10798	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Sweet potato virus G
NC_030224	5100	segment	Viruses	Orthornavirae	Totiviridae	Victorivirus	Nigrospora oryzae victorivirus 1
NC_030238	2683	segment	Viruses	Shotokuvirae	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus
NC_030242	2972	segment A	Viruses	Orthornavirae	Birnaviridae	Aquabirnavirus	Victorian trout aquabirnavirus
NC_030244	2611	segment B	Viruses	Orthornavirae	Birnaviridae	Aquabirnavirus	Victorian trout aquabirnavirus
NC_030235	9168	segment	Viruses	Orthornavirae			Antarctic picorna-like virus 4
NC_030234	8644	segment	Viruses	Orthornavirae			Antarctic picorna-like virus 3
NC_030233	9357	segment	Viruses	Orthornavirae			Antarctic picorna-like virus 2
NC_030232	8531	segment	Viruses	Orthornavirae			Antarctic picorna-like virus 1
NC_030225	5813	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Pepo aphid-borne yellows virus
NC_030240	128058	segment	Viruses		Baculoviridae	Alphabaculovirus	Alphabaculovirus capomonae
NC_030231	16146	segment	Viruses	Orthornavirae	Paramyxoviridae	Orthoavulavirus	Orthoavulavirus japanense
NC_030243	1584	segment RNA 1	Viruses	Orthornavirae	Partitiviridae		Sinapis alba cryptic virus 1
NC_030245	1536	segment RNA 2	Viruses	Orthornavirae	Partitiviridae		Sinapis alba cryptic virus 1
NC_030226	1386	segment	Viruses		Alphasatellitidae		Parthenium leaf curl alphasatellite
NC_030228	20433	segment	Viruses				Xinzhou spider virus 3
NC_030227	23676	segment	Viruses				Wuhan centipede virus
NC_030290	10864	segment	Viruses	Orthornavirae	Flaviviridae		Culiseta flavivirus
NC_023295	7315	segment	Viruses	Orthornavirae	Betaflexiviridae	Prunevirus	Apricot vein clearing associated virus
NC_027059	2872	segment	Viruses		Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b
NC_023300	1017	segment DNA C	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023301	1021	segment DNA N	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023302	1006	segment DNA U4	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023304	1017	segment DNA S	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023306	1011	segment DNA U1	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023307	1001	segment DNA U2	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023299	1008	segment DNA R	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023305	1010	segment DNA M	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Black medic leaf roll virus
NC_023296	1002	segment DNA R	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023297	975	segment DNA M	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023298	971	segment DNA U2	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023308	976	segment DNA S	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023309	971	segment DNA C	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023310	977	segment DNA N	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023303	970	segment DNA U1	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_023311	983	segment DNA U4	Viruses	Shotokuvirae	Nanoviridae	Nanovirus	Pea yellow stunt virus
NC_027026	7521	segment	Viruses	Orthornavirae	Caliciviridae	Sapovirus	Sapporo virus
NC_027016	226084	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus cercopithecinebeta5
NC_027040	2750	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Ageratum yellow vein virus
NC_027054	8121	segment	Viruses	Orthornavirae	Picornaviridae	Kobuvirus	Aichivirus C
NC_023312	2761	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato leaf curl Liwa virus
NC_026942	5132	segment	Viruses	Shotokuvirae	Polyomaviridae		Sheep polyomavirus 1
NC_026944	6219	segment	Viruses	Shotokuvirae	Polyomaviridae	Thetapolyomavirus	Thetapolyomavirus trepennellii
NC_026947	1370	segment	Viruses		Alphasatellitidae		Bhendi yellow vein mosaic alphasatellite
NC_026946	7143	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Human papillomavirus KC5
NC_026945	1982	segment	Viruses	Shotokuvirae	Circoviridae	Circovirus	Circovirus zebrafinch
NC_026943	6334	segment	Viruses	Shotokuvirae	Parvoviridae	Aquambidensovirus	Aquambidensovirus decapod1
NC_027199	20261	segment	Viruses	Orthornavirae	Tobaniviridae	Bostovirus	Bovine nidovirus 1
NC_027198	4194	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Rottboellia yellow mottle virus
NC_027208	7769	segment	Viruses	Orthornavirae	Fusariviridae	Betafusarivirus	Betafusarivirus sclerotiniae
NC_027209	5181	segment	Viruses	Orthornavirae	Totiviridae	Victorivirus	Magnaporthe oryzae virus 3
NC_027211	4991	segment	Viruses	Orthornavirae	Tombusviridae	Luteovirus	Luteovirus nucipersicae
NC_027210	9575	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Catharanthus mosaic virus
NC_027117	10485	segment	Viruses	Pararnavirae	Retroviridae	Betaretrovirus	Desmodus rotundus endogenous retrovirus
NC_027123	4083	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Cymbidium chlorotic mosaic virus
NC_027121	16080	segment	Viruses	Orthornavirae	Closteroviridae	Velarivirus	Areca palm velarivirus 1
NC_027122	8376	segment	Viruses	Orthornavirae	Caliciviridae	Vesivirus	Vesivirus ferret badger/JX12/China/2012
NC_027131	6988	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus decoloratiovitis
NC_027133	1346	segment	Viruses		Tolecusatellitidae	Betasatellite	Kenaf leaf curl betasatellite
NC_027141	3307	segment M	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus bhanjanagarense
NC_027142	1871	segment S	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus bhanjanagarense
NC_027140	6333	segment L	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus bhanjanagarense
NC_027124	15478	segment	Viruses	Orthornavirae	Arteriviridae	Iotaarterivirus	Iotaarterivirus pejah
NC_027128	9786	segment	Viruses	Orthornavirae	Iflaviridae		La Jolla virus
NC_027126	8865	segment	Viruses	Orthornavirae			Kilifi Virus
NC_027138	6457	segment 1	Viruses	Orthornavirae		Botybirnavirus	Sclerotinia sclerotiorum botybirnavirus 1
NC_027139	5965	segment 2	Viruses	Orthornavirae		Botybirnavirus	Sclerotinia sclerotiorum botybirnavirus 1
NC_027135	3379	segment S	Viruses	Orthornavirae	Arenaviridae	Mammarenavirus	Mammarenavirus okahandjaense
NC_027137	7170	segment L	Viruses	Orthornavirae	Arenaviridae	Mammarenavirus	Mammarenavirus okahandjaense
NC_027134	3360	segment S	Viruses	Orthornavirae	Arenaviridae	Mammarenavirus	Mammarenavirus marientalense
NC_027136	6840	segment L	Viruses	Orthornavirae	Arenaviridae	Mammarenavirus	Mammarenavirus marientalense
NC_027129	2741	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Hollyhock yellow vein mosaic virus
NC_027214	9246	segment	Viruses	Orthornavirae	Picornaviridae	Ampivirus	Ampivirus A
NC_027212	5704	segment	Viruses	Orthornavirae	Totiviridae		Camponotus yamaokai virus
NC_027215	2796	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato yellow leaf curl Mali virus
NC_027428	3218	segment	Viruses				Beauveria bassiana RNA virus 1
NC_027426	7025	segment	Viruses	Orthornavirae	Astroviridae		Astrovirus Er/SZAL6/HUN/2011
